list-none-none,1,10,1,30,87416,2913
list-none-none,1,100,1,300,165825,552
list-none-none,1,1000,1,3000,3614589,1204
list-none-none,1,10000,1,30000,580812312,19360
list-none-none,1,20000,1,60000,3136652891,52277
list-none-none,2,1,1,6,169556,28259
list-none-none,2,10,1,60,160441,2674
list-none-none,2,1000,1,6000,34548403,5758
list-none-none,4,1,1,12,178439,14869
list-none-none,4,10,1,120,174819,1456
list-none-none,12,1,1,36,384433,10678
list-i-none,2,4,1,24,97788,4074
list-i-none,2,8,1,48,164017,3417
list-i-none,2,32,1,192,242786,1264
list-i-none,4,2,1,24,151013,6292
list-i-none,4,4,1,48,207574,4324
list-i-none,8,2,1,48,264713,5514
list-i-none,8,8,1,192,294672,1534
list-d-none,2,1,1,6,151292,25215
list-d-none,2,2,1,12,181903,15158
list-d-none,2,4,1,24,148053,6168
list-d-none,2,32,1,192,251764,1311
list-d-none,4,1,1,12,179454,14954
list-d-none,4,4,1,48,180280,3755
list-d-none,4,8,1,96,206695,2153
list-d-none,4,32,1,384,345489,899
list-d-none,8,1,1,24,322172,13423
list-d-none,8,2,1,48,283871,5913
list-d-none,12,2,1,72,438140,6085
list-d-none,12,4,1,144,426632,2962
list-il-none,2,4,1,24,108541,4522
list-il-none,2,32,1,192,621747,3238
list-il-none,4,1,1,12,155823,12985
list-il-none,4,2,1,24,199071,8294
list-il-none,4,8,1,96,241107,2511
list-il-none,4,32,1,384,1337924,3484
list-il-none,8,2,1,48,324778,6766
list-il-none,12,4,1,144,1660402,11530
list-dl-none,2,1,1,6,116286,19381
list-dl-none,2,2,1,12,101242,8436
list-dl-none,2,4,1,24,104916,4371
list-dl-none,2,8,1,48,199553,4157
list-dl-none,2,32,1,192,710587,3700
list-dl-none,4,1,1,12,181148,15095
list-dl-none,4,4,1,48,206965,4311
list-dl-none,4,16,1,192,447098,2328
list-dl-none,8,1,1,24,286205,11925
list-dl-none,8,2,1,48,313021,6521
list-dl-none,8,32,1,768,2340510,3047
list-dl-none,12,1,1,36,409854,11384
list-dl-none,12,4,1,144,429539,2982
list-i-m,12,32,1,1152,726447,630
list-d-m,12,32,1,1152,681957,591
list-il-m,12,32,1,1152,3983671,3458
list-dl-m,12,32,1,1152,4204391,3649
list-i-s,12,32,1,1152,1171906,1017
list-d-s,12,32,1,1152,1169868,1015
list-il-s,12,32,1,1152,5470038,4748
list-dl-s,12,32,1,1152,5173694,4491
list-none-m,1,1000,1,3000,3792466,1264
list-none-m,2,1000,1,6000,7545656,1257
list-none-m,4,1000,1,12000,14852701,1237
list-none-m,8,1000,1,24000,29573141,1232
list-none-m,12,1000,1,36000,45210903,1255
list-none-m,16,1000,1,48000,62763473,1307
list-none-m,24,1000,1,72000,87722119,1218
list-none-s,1,1000,1,3000,3841710,1280
list-none-s,2,1000,1,6000,9720409,1620
list-none-s,4,1000,1,12000,31812518,2651
list-none-s,8,1000,1,24000,130579166,5440
list-none-s,12,1000,1,36000,287537460,7987
list-none-s,16,1000,1,48000,441626954,9200
list-none-s,24,1000,1,72000,841368309,11685
